Genotype,Sex,Construct,Animal ID,Day,Block,Strength,User,Batch
CE,female,C57/BL6J,2826,1,1,104,Laura,3
CE,female,C57/BL6J,2822,1,2,112,Laura,3
CE,female,C57/BL6J,2826,1,2,100,Laura,3
CE,female,C57/BL6J,2822,2,1,79,Laura,3
CE,female,C57/BL6J,2826,2,1,59,Laura,3
CE,female,C57/BL6J,2822,2,2,81,Laura,3
CE,female,C57/BL6J,2826,2,2,87,Laura,3
CE,female,C57/BL6J,2822,3,1,82,Laura,3
CE,female,C57/BL6J,2826,3,1,69,Laura,3
CE,female,C57/BL6J,2822,3,2,66,Laura,3
CE,female,C57/BL6J,2826,3,2,62,Laura,3
CE,female,C57/BL6J,2822,4,1,64,Laura,3
CE,female,C57/BL6J,2826,4,1,82,Laura,3
CE,female,C57/BL6J,2822,4,2,91,Laura,3
CE,female,C57/BL6J,2826,4,2,86,Laura,3
Control,male,C57/BL6J,2713,1,1,82,Laura,1
Control,male,C57/BL6J,2715,1,1,53,Laura,1
Control,male,C57/BL6J,2716,1,1,73,Laura,1
Control,male,C57/BL6J,2722,1,1,77,Laura,2
Control,male,C57/BL6J,2724,1,1,106,Laura,2
Control,male,C57/BL6J,2726,1,1,85,Laura,2
Control,male,C57/BL6J,2728,1,1,95,Laura,2
Control,female,C57/BL6J,2816,1,1,100,Laura,3
Control,female,C57/BL6J,2820,1,1,74,Laura,3
Control,male,C57/BL6J,2824,1,1,116,Laura,3
Control,female,C57/BL6J,2825,1,1,94,Laura,3
Control,male,C57/BL6J,2713,1,2,106,Laura,1
Control,male,C57/BL6J,2715,1,2,112,Laura,1
Control,male,C57/BL6J,2716,1,2,98,Laura,1
Control,male,C57/BL6J,2722,1,2,123,Laura,2
Control,male,C57/BL6J,2724,1,2,155,Laura,2
Control,male,C57/BL6J,2726,1,2,109,Laura,2
Control,male,C57/BL6J,2728,1,2,86,Laura,2
Control,female,C57/BL6J,2816,1,2,84,Laura,3
Control,female,C57/BL6J,2820,1,2,87,Laura,3
Control,male,C57/BL6J,2824,1,2,77,Laura,3
Control,female,C57/BL6J,2825,1,2,96,Laura,3
Control,male,C57/BL6J,2713,2,1,137,Laura,1
Control,male,C57/BL6J,2715,2,1,122,Laura,1
Control,male,C57/BL6J,2716,2,1,81,Laura,1
Control,male,C57/BL6J,2722,2,1,103,Laura,2
Control,male,C57/BL6J,2724,2,1,133,Laura,2
Control,male,C57/BL6J,2726,2,1,93,Laura,2
Control,male,C57/BL6J,2728,2,1,85,Laura,2
Control,female,C57/BL6J,2816,2,1,88,Laura,3
Control,female,C57/BL6J,2820,2,1,77,Laura,3
Control,male,C57/BL6J,2824,2,1,87,Laura,3
Control,female,C57/BL6J,2825,2,1,75,Laura,3
Control,male,C57/BL6J,2713,2,2,66,Laura,1
Control,male,C57/BL6J,2715,2,2,101,Laura,1
Control,male,C57/BL6J,2716,2,2,78,Laura,1
Control,male,C57/BL6J,2722,2,2,110,Laura,2
Control,male,C57/BL6J,2724,2,2,87,Laura,2
Control,male,C57/BL6J,2726,2,2,88,Laura,2
Control,male,C57/BL6J,2728,2,2,75,Laura,2
Control,female,C57/BL6J,2816,2,2,76,Laura,3
Control,female,C57/BL6J,2820,2,2,99,Laura,3
Control,male,C57/BL6J,2824,2,2,90,Laura,3
Control,female,C57/BL6J,2825,2,2,113,Laura,3
Control,male,C57/BL6J,2713,3,1,147,Laura,1
Control,male,C57/BL6J,2715,3,1,83,Laura,1
Control,male,C57/BL6J,2716,3,1,85,Laura,1
Control,male,C57/BL6J,2722,3,1,112,Laura,2
Control,male,C57/BL6J,2724,3,1,88,Laura,2
Control,male,C57/BL6J,2726,3,1,92,Laura,2
Control,male,C57/BL6J,2728,3,1,88,Laura,2
Control,female,C57/BL6J,2816,3,1,95,Laura,3
Control,female,C57/BL6J,2820,3,1,91,Laura,3
Control,male,C57/BL6J,2824,3,1,59,Laura,3
Control,female,C57/BL6J,2825,3,1,62,Laura,3
Control,male,C57/BL6J,2713,3,2,102,Laura,1
Control,male,C57/BL6J,2715,3,2,96,Laura,1
Control,male,C57/BL6J,2716,3,2,103,Laura,1
Control,male,C57/BL6J,2722,3,2,106,Laura,2
Control,male,C57/BL6J,2724,3,2,109,Laura,2
Control,male,C57/BL6J,2726,3,2,79,Laura,2
Control,male,C57/BL6J,2728,3,2,93,Laura,2
Control,female,C57/BL6J,2816,3,2,82,Laura,3
Control,female,C57/BL6J,2820,3,2,92,Laura,3
Control,male,C57/BL6J,2824,3,2,61,Laura,3
Control,female,C57/BL6J,2825,3,2,75,Laura,3
Control,male,C57/BL6J,2713,4,1,136,Laura,1
Control,male,C57/BL6J,2715,4,1,104,Laura,1
Control,male,C57/BL6J,2716,4,1,85,Laura,1
Control,male,C57/BL6J,2722,4,1,122,Laura,2
Control,male,C57/BL6J,2724,4,1,89,Laura,2
Control,male,C57/BL6J,2726,4,1,91,Laura,2
Control,male,C57/BL6J,2728,4,1,99,Laura,2
Control,female,C57/BL6J,2816,4,1,79,Laura,3
Control,female,C57/BL6J,2820,4,1,69,Laura,3
Control,male,C57/BL6J,2824,4,1,60,Laura,3
Control,female,C57/BL6J,2825,4,1,79,Laura,3
Control,male,C57/BL6J,2713,4,2,82,Laura,1
